Brand Name,Generic Name,Drug Uses**
Humulin R,"Insulin Regular, Human","Insulin regular is used with a proper diet and exercise program to control high blood sugar in people with diabetes. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke. This man-made insulin product is the same as human insulin. It replaces the insulin that your body would normally make. It is a short-acting insulin. It works by helping blood sugar (glucose) get into cells so your body can use it for energy. This medication is usually used in combination with a medium- or long-acting insulin product. This medication may also be used alone or with other oral diabetes drugs (such as metformin). NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Humulin R U-500,"Insulin Regular, Human","Concentrated insulin regular is used with a proper diet and exercise program to control high blood sugar in people with diabetes who require large doses of insulin (more than 200 units per day). Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke. This man-made insulin product is the same as human insulin. It replaces the insulin that your body would normally make. It works right away like regular insulin but its effects last longer. It works by helping blood sugar (glucose) get into cells so your body can use it for energy. This medication may be used alone or with other oral diabetes drugs (such as metformin). NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Humulin R U-500 Kwikpen,"Insulin Regular, Human","Concentrated insulin regular is used with a proper diet and exercise program to control high blood sugar in people with diabetes who require large doses of insulin (more than 200 units per day). Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke. This man-made insulin product is the same as human insulin. It replaces the insulin that your body would normally make. It works right away like regular insulin but its effects last longer. It works by helping blood sugar (glucose) get into cells so your body can use it for energy. This medication may be used alone or with other oral diabetes drugs (such as metformin). NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Hydralazine HCl*,Hydralazine HCl,"Hydralazine is used with or without other medications to treat high blood pressure. Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. Hydralazine is called a vasodilator. It works by relaxing blood vessels so blood can flow through the body more easily. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Hydrea,Hydroxyurea,"This medication is used by people with sickle cell anemia to reduce the number of painful crises caused by the disease and to reduce the need for blood transfusions. Some brands are also used to treat certain types of cancer (such as chronic myelogenous leukemia, squamous cell carcinomas). NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Hydrochlorothiazide,Hydrochlorothiazide,"This medication is used to treat high blood pressure. Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. Hydrochlorothiazide belongs to a class of drugs known as diuretics/""water pills."" It works by causing you to make more urine. This helps your body get rid of extra salt and water. This medication also reduces extra fluid in the body (edema) caused by conditions such as heart failure, liver disease, or kidney disease. This can lessen symptoms such as shortness of breath or swelling in your ankles or feet. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Hydrocodone-Acetaminophen,Hydrocodone/Acetaminophen,"This combination medication is used to relieve moderate to severe pain. It contains an opioid pain reliever (hydrocodone) and a non-opioid pain reliever (acetaminophen). Hydrocodone works in the brain to change how your body feels and responds to pain. Acetaminophen can also reduce a fever. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Hydrocodone-Chlorpheniramne ER,Hydrocodone/Chlorphen P-Stirex,"This combination product is used to treat coughs and other symptoms caused by the common cold or allergies. This product contains 2 medications: hydrocodone and chlorpheniramine. Hydrocodone is an opioid cough suppressant (antitussive) that acts on a certain part of the brain (cough center) to reduce the urge to cough. Chlorpheniramine is an antihistamine that helps to relieve watery eyes, itchy eyes/nose/throat, runny nose, and sneezing. Opioid cough suppressants should not be used in children younger than 18 years. Children are at higher risk for serious (even fatal) side effects, especially breathing problems. Talk with the doctor about the risks and benefits of this medication. Cough-and-cold products do not cure colds. Cough due to a common cold often does not need to be treated with medicine. Ask your doctor or pharmacist about other ways to relieve cough and cold symptoms, such as drinking enough fluids, using a humidifier, or saline nose drops/spray. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Hydrocodone-Homatropine Mbr,Hydrocodone Bit/Homatrop Me-Br,"This medication is used to relieve a dry cough usually caused by the common cold or other conditions as prescribed by your doctor. Relieving a cough helps you get more rest and sleep. This product contains 2 medications, hydrocodone and homatropine. Hydrocodone is an opioid cough suppressant (antitussive) that works on certain centers in the brain to stop the urge to cough. Homatropine belongs to a class of drugs known as anticholinergics. This medication is generally used for short-term treatment. It should not be used for persistent coughs from smoking or long-term breathing problems (e.g., asthma, emphysema), or for coughs with a lot of mucus or fluids (productive coughs), unless directed by your doctor. Opioid cough suppressants should not be used in children younger than 18 years. Children are at higher risk for serious (even fatal) side effects, especially breathing problems. Talk with the doctor about the risks and benefits of this medication. Cough-and-cold products do not cure colds. Cough due to a common cold often does not need to be treated with medicine. Ask your doctor or pharmacist about other ways to relieve cough and cold symptoms, such as drinking enough fluids, using a humidifier, or saline nose drops/spray. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Hydrocodone-Ibuprofen,Hydrocodone/Ibuprofen,"This combination medication is used for a short time (usually less than 10 days) to help relieve moderate to severe pain. It contains an opioid pain reliever (hydrocodone) and a nonsteroidal anti-inflammatory drug-NSAID (ibuprofen). Hydrocodone works in the brain to change how your body feels and responds to pain. Ibuprofen reduces pain and fever. This medication is not intended to treat long-term conditions (such as arthritis). NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Hydrocortisone,"Hydrocort/Min Oil/Petrolat,Wht","This medication is used to treat a variety of skin conditions (e.g., insect bites, poison oak/ivy, eczema, dermatitis, allergies, rash, itching of the outer female genitals, anal itching). Hydrocortisone reduces the swelling, itching, and redness that can occur in these types of conditions. This medication is a mild corticosteroid. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Hydrocortisone Butyrate,Hydrocortisone Butyrate,"This medication is used to treat a variety of skin conditions (e.g., eczema, dermatitis, allergies, rash). Hydrocortisone butyrate reduces the swelling, itching, and redness that can occur in these types of conditions. The topical solution is used to treat severe dandruff (seborrheic dermatitis). This medication is a medium-strength corticosteroid. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Hydrocortisone Butyrate,Hydrocortisone Butyrate/Emoll,"This medication is used to treat a variety of skin conditions (e.g., eczema, dermatitis, allergies, rash). Hydrocortisone butyrate reduces the swelling, itching, and redness that can occur in these types of conditions. The topical solution is used to treat severe dandruff (seborrheic dermatitis). This medication is a medium-strength corticosteroid. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Hydrocortisone Valerate,Hydrocortisone Valerate,"This medication is used to treat a variety of skin conditions (e.g., eczema, dermatitis, allergies, rash). Hydrocortisone valerate reduces the swelling, itching, and redness that can occur in these types of conditions. This medication is a medium-strength corticosteroid. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Hydrocortisone*,Hydrocortisone,"This medication is used to treat a variety of skin conditions (e.g., insect bites, poison oak/ivy, eczema, dermatitis, allergies, rash, itching of the outer female genitals, anal itching). Hydrocortisone reduces the swelling, itching, and redness that can occur in these types of conditions. This medication is a mild corticosteroid. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Hydrocortisone-Acetic Acid,Hydrocortisone/Acetic Acid,"This combination medication is used to treat outer ear infections (e.g., swimmer's ear). This product contains 2 medications. Acetic acid works by stopping the growth of bacteria and fungus. Hydrocortisone is a steroid that helps to decrease the redness, swelling, and itching from the infection. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Hydrocortisone-Pramoxine,Hydrocortisone/Pramoxine,"This combination medication is used to treat minor pain, itching, swelling, and discomfort caused by hemorrhoids and other problems of the anal area (e.g., anal fissures, itching). This medication contains pramoxine, an anesthetic that works by temporarily numbing the area. This product also contains hydrocortisone, a corticosteroid that reduces redness, itching, and swelling. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Hydromet,Hydrocodone Bit/Homatrop Me-Br,"This medication is used to relieve a dry cough usually caused by the common cold or other conditions as prescribed by your doctor. Relieving a cough helps you get more rest and sleep. This product contains 2 medications, hydrocodone and homatropine. Hydrocodone is an opioid cough suppressant (antitussive) that works on certain centers in the brain to stop the urge to cough. Homatropine belongs to a class of drugs known as anticholinergics. This medication is generally used for short-term treatment. It should not be used for persistent coughs from smoking or long-term breathing problems (e.g., asthma, emphysema), or for coughs with a lot of mucus or fluids (productive coughs), unless directed by your doctor. Opioid cough suppressants should not be used in children younger than 18 years. Children are at higher risk for serious (even fatal) side effects, especially breathing problems. Talk with the doctor about the risks and benefits of this medication. Cough-and-cold products do not cure colds. Cough due to a common cold often does not need to be treated with medicine. Ask your doctor or pharmacist about other ways to relieve cough and cold symptoms, such as drinking enough fluids, using a humidifier, or saline nose drops/spray. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Hydromorphone ER,Hydromorphone HCl,"See also Warning section. This medication contains hydromorphone in a long-acting form. It is used to help relieve severe ongoing pain (such as due to cancer). Hydromorphone belongs to a class of drugs known as opioid analgesics. It works in the brain to change how your body feels and responds to pain. Do not use the extended-release form of hydromorphone to relieve pain that is mild or that will go away in a few days. This medication is not for occasional (""as needed"") use. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Hydromorphone HCl,Hydromorphone HCl/PF,"This medication is used to relieve moderate to severe pain. Hydromorphone is an opioid pain reliever. It acts on certain centers in the brain to give you pain relief. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Hydromorphone HCl*,Hydromorphone HCl,"This medication is used to help relieve moderate to severe pain. Hydromorphone belongs to a class of drugs known as opioid analgesics. It works in the brain to change how your body feels and responds to pain. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Hydroxychloroquine Sulfate,Hydroxychloroquine Sulfate,"Hydroxychloroquine is used to prevent or treat malaria caused by mosquito bites. The United States Center for Disease Control provides updated guidelines and travel recommendations for the prevention and treatment of malaria in different parts of the world. Discuss the most recent information with your doctor before traveling to areas where malaria occurs. This medication is also used to treat certain auto-immune diseases (lupus, rheumatoid arthritis). It belongs to a class of medications known as disease-modifying antirheumatic drugs (DMARDs). It can reduce skin problems in lupus and prevent swelling/pain in arthritis. Hydroxychloroquine is not recommended for coronavirus infection, also known as COVID-19, unless you are enrolled in a study. Talk to your doctor about the risks and benefits. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Hydroxyprogesterone Caproate,Hydroxyprogesterone Caproat/PF,"This medication is used in women who are pregnant with a single baby, and who have delivered a baby too early (preterm) in the past. It is used to help lower the risk of having a preterm baby again. Hydroxyprogesterone is a man-made form of a female hormone (progestin). It is not known how it works to prevent preterm births. This medication is not intended to prevent preterm birth in women pregnant with more than one baby (such as twins, triplets). It is also not intended to stop active preterm labor. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Hydroxyprogesterone Caproate,Hydroxyprogesterone Caproate,"This medication is used in women who are pregnant with a single baby, and who have delivered a baby too early (preterm) in the past. It is used to help lower the risk of having a preterm baby again. Hydroxyprogesterone is a man-made form of a female hormone (progestin). It is not known how it works to prevent preterm births. This medication is not intended to prevent preterm birth in women pregnant with more than one baby (such as twins, triplets). It is also not intended to stop active preterm labor. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Hydroxyurea,Hydroxyurea,"This medication is used by people with sickle cell anemia to reduce the number of painful crises caused by the disease and to reduce the need for blood transfusions. Some brands are also used to treat certain types of cancer (such as chronic myelogenous leukemia, squamous cell carcinomas). NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Hydroxyzine HCl*,Hydroxyzine HCl,"Hydroxyzine is used to treat itching caused by allergies. It is an antihistamine and works by blocking a certain natural substance (histamine) that your body makes during an allergic reaction. Hydroxyzine may also be used short-term to treat anxiety or to help you feel sleepy/relaxed before and after surgery. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Hydroxyzine Pamoate,Hydroxyzine Pamoate,"Hydroxyzine is used to treat itching caused by allergies. It is an antihistamine and works by blocking a certain natural substance (histamine) that your body makes during an allergic reaction. Hydroxyzine may also be used short-term to treat anxiety or to help you feel sleepy/relaxed before and after surgery. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Hyoscyamine Sulfate ER,Hyoscyamine Sulfate,"Hyoscyamine is used to treat a variety of stomach/intestinal problems such as cramps and irritable bowel syndrome. It is also used to treat other conditions such as bladder and bowel control problems, cramping pain caused by kidney stones and gallstones, and Parkinson's disease. In addition, it is used to decrease side effects of certain medications (drugs used to treat myasthenia gravis) and insecticides. This medication works by decreasing acid production in the stomach, slowing down the natural movements of the gut, and relaxing muscles in many organs (such as the stomach, intestines, bladder, kidney, gallbladder). Hyoscyamine also lessens the amount of certain body fluids (such as saliva, sweat). This medication belongs to a class of drugs known as anticholinergics/antispasmodics. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Hyoscyamine Sulfate*,Hyoscyamine Sulfate,"Hyoscyamine is used to treat a variety of stomach/intestinal problems such as cramps and irritable bowel syndrome. It is also used to treat other conditions such as bladder and bowel control problems, cramping pain caused by kidney stones and gallstones, and Parkinson's disease. In addition, it is used to decrease side effects of certain medications (drugs used to treat myasthenia gravis) and insecticides. This medication works by decreasing acid production in the stomach, slowing down the natural movements of the gut, and relaxing muscles in many organs (such as the stomach, intestines, bladder, kidney, gallbladder). Hyoscyamine also lessens the amount of certain body fluids (e.g., saliva, sweat). This medication belongs to a class of drugs known as anticholinergics/antispasmodics. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Hyosyne,Hyoscyamine Sulfate,"Hyoscyamine is used to treat a variety of stomach/intestinal problems such as cramps, infant colic, and irritable bowel syndrome. It is also used to treat other conditions such as bladder and bowel control problems, cramping pain caused by kidney stones and gallstones, and Parkinson's disease. In addition, it is used to decrease side effects of certain medications (drugs used to treat myasthenia gravis) and insecticides. This medication works by decreasing acid production in the stomach, slowing down the natural movements of the gut, and relaxing muscles in many organs (such as the stomach, intestines, bladder, kidney, gallbladder). Hyoscyamine also lessens the amount of certain body fluids (such as saliva, sweat). This medication belongs to a class of drugs known as anticholinergics/antispasmodics. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Hyqvia,"IgG/Hyaluronidase,Recombinant","This kit contains two medications: immune globulin and hyaluronidase. Immune globulin is used to boost the body's natural defense system against infection in persons with a weakened immune system (primary immune deficiency). Immune globulin contains natural substances called antibodies (a type called IgG) that come from healthy human blood (plasma). These antibodies help protect your body against infections and help you to fight an infection if you get sick. Hyaluronidase is used to help the body absorb the immune globulin. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Hysingla ER,Hydrocodone Bitartrate,"Hydrocodone is used to help relieve severe ongoing pain. Hydrocodone belongs to a class of drugs known as opioid analgesics. It works in the brain to change how your body feels and responds to pain. Do not use the extended-release form of hydrocodone to relieve pain that is mild or that will go away in a few days. This medication is not for occasional (""as needed"") use. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Hyzaar,Losartan/Hydrochlorothiazide,"This drug is used to treat high blood pressure. It is also used to lower the risk of strokes in patients with high blood pressure and an enlarged heart. Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. This product contains two medications: losartan and hydrochlorothiazide. Losartan is an angiotensin receptor blocker (ARB) and works by relaxing blood vessels so that blood can flow more easily. Hydrochlorothiazide is a ""water pill"" (diuretic) that causes you to make more urine, which helps your body get rid of extra salt and water. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
IV Prep Wipes,Alcohol Antiseptic Pads,Drug uses not available
IVermectin*,IVermectin,"This medication is used to treat certain parasitic roundworm infections. Curing parasitic infections helps to improve your quality of life. In people with weakened defense (immune) systems, curing roundworm infections can reduce the risk of developing a severe or life-threatening infection. Ivermectin belongs to a class of drugs known as antihelmintics. It works by paralyzing and killing parasites. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Ibandronate Sodium*,Ibandronate Sodium,"Ibandronate is used to prevent and treat certain types of bone loss (osteoporosis). Osteoporosis causes bones to become thinner and break more easily. Your chance of developing osteoporosis increases after menopause, as you age, or if you take corticosteroid medications (such as prednisone) for long periods. This medication works by slowing bone loss to help maintain strong bones and reduce the risk of broken bones (fractures). Ibandronate belongs to a class of medications called bisphosphonates. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Ibrance,Palbociclib,"Palbociclib is used to treat a certain type of breast cancer. It works by slowing or stopping the growth of cancer cells. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Ibu,Ibuprofen,"Ibuprofen is used to relieve pain from various conditions such as headache, dental pain, menstrual cramps, muscle aches, or arthritis. It is also used to reduce fever and to relieve minor aches and pain due to the common cold or flu. Ibuprofen is a nonsteroidal anti-inflammatory drug (NSAID). It works by blocking your body's production of certain natural substances that cause inflammation. This effect helps to decrease swelling, pain, or fever. If you are treating a chronic condition such as arthritis, ask your doctor about non-drug treatments and/or using other medications to treat your pain. See also Warning section. Check the ingredients on the label even if you have used the product before. The manufacturer may have changed the ingredients. Also, products with similar names may contain different ingredients meant for different purposes. Taking the wrong product could harm you. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Ibudone,Hydrocodone/Ibuprofen,"This combination medication is used for a short time (usually less than 10 days) to help relieve moderate to severe pain. It contains an opioid pain reliever (hydrocodone) and a nonsteroidal anti-inflammatory drug-NSAID (ibuprofen). Hydrocodone works in the brain to change how your body feels and responds to pain. Ibuprofen reduces pain and fever. This medication is not intended to treat long-term conditions (such as arthritis). NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Ibuprofen,Ibuprofen,"Ibuprofen is used to relieve pain from various conditions such as headache, dental pain, menstrual cramps, muscle aches, or arthritis. It is also used to reduce fever and to relieve minor aches and pain due to the common cold or flu. Ibuprofen is a nonsteroidal anti-inflammatory drug (NSAID). It works by blocking your body's production of certain natural substances that cause inflammation. This effect helps to decrease swelling, pain, or fever. If you are treating a chronic condition such as arthritis, ask your doctor about non-drug treatments and/or using other medications to treat your pain. See also Warning section. Check the ingredients on the label even if you have used the product before. The manufacturer may have changed the ingredients. Also, products with similar names may contain different ingredients meant for different purposes. Taking the wrong product could harm you. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Icatibant,Icatibant Acetate,"Icatibant is used to treat sudden attacks of a certain immune system condition passed down through families called hereditary angioedema (HAE). Although this medication is not a cure for HAE, icatibant may lessen the symptoms of an attack such as rapid swelling and pain of the hands, arms, feet, legs, face, tongue, and upper airway. When attacks involve the stomach/intestines, symptoms may include abdominal pain/cramps, diarrhea, constipation, or vomiting. Attacks may happen at any time. However, stress, injury, or illness may trigger attacks in some people. Icatibant works by blocking the action of a natural substance in the body called bradykinin. Bradykinin is thought to cause the symptoms of an HAE attack. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Iclusig,Ponatinib HCl,"Ponatinib is used to treat certain types of blood cancer (chronic myelogenous leukemia-CML, acute lymphoblastic leukemia-ALL). It works by slowing or stopping the growth of cancer cells. It belongs to a class of drugs known as kinase inhibitors. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Idhifa,Enasidenib Mesylate,"This medication is used to treat a certain type of blood cell cancer (acute myeloid leukemia-AML). Enasidenib works by helping your bone marrow grow normal blood cells so you will need fewer blood transfusions. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Ilaris,Canakinumab/PF,"This medication is used to treat certain types of periodic fever syndromes, which include cryopyrin-associated periodic syndromes (CAPS), tumor necrosis factor receptor associated periodic syndrome (TRAPS), hyperimmunoglobulin D syndrome (HIDS)/mevalonate kinase deficiency (MKD), and familial Mediterranean fever (FMF). Canakinumab works by blocking a certain natural protein in your body (interleukin-1 beta) that may worsen the symptoms of these diseases. Canakinumab may help to lessen the symptoms, such as rash, joint/muscle pain, fever, eye redness, and tiredness. Canakinumab is also used to treat a type of rheumatoid arthritis in children (systemic juvenile idiopathic arthritis-SJIA), as well as Still's Disease in adults. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Ilevro,Nepafenac,"This medication is used to relieve eye pain, irritation, and redness following cataract eye surgery. Nepafenac belongs to a class of drugs known as nonsteroidal anti-inflammatory drugs (NSAIDs). It works by blocking certain natural substances (prostaglandins) in your body that cause pain and swelling. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Ilumya,Tildrakizumab-Asmn,"This medication is used to treat moderate to severe plaque psoriasis. Tildrakizumab-asmn belongs to a class of drugs known as monoclonal antibodies. It works by blocking a certain natural substance in your body (interleukin-23) that may lead to the overgrowth of skin cells and redness/swelling seen in plaque psoriasis. Tildrakizumab-asmn can help lessen the symptoms of plaque psoriasis, including red, scaly, itchy patches of skin. NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
Imatinib Mesylate,Imatinib Mesylate,"This medication is used to treat certain types of cancer (such as acute lymphoblastic leukemia, chronic myeloid leukemia, gastrointestinal stromal tumors, and myelodysplastic/myeloproliferative diseases). It works by slowing or stopping the growth of cancer cells. Imatinib may also be used to treat certain immune system disorders (such as aggressive systemic mastocytosis, hypereosinophilic syndrome). NOTE:  This is a summary and does NOT have all possible information about this product. This information does not assure that this product is safe, effective, or appropriate for you. This information is not individual medical advice and does not substitute for the advice of your health care professional. Always ask your health care professional for complete information about this product and your specific health needs."
